ATM_ID,Location,Latitude,Longitude,Area_Type,City,Monthly_Transactions,Avg_Withdrawal_Amount,ATM_Status,Last_Used_Days_Ago
ATM00147,Swargate,18.5018,73.8636,Residential,Pune,445,2930,Active,113
ATM00148,Swargate,18.5018,73.8636,Commercial,Pune,0,3107,Active,74
ATM00149,Shivaji Nagar,18.53,73.85,Mixed,Pune,0,3536,Active,1
ATM00150,Swargate,18.5018,73.8636,IT Hub,Pune,289,3175,Active,25
ATM00151,Hinjewadi,18.5911,73.7389,Residential,Pune,0,2507,Active,14
ATM00152,Hinjewadi,18.5911,73.7389,IT Hub,Pune,645,2379,Active,18
ATM00153,Hinjewadi,18.5911,73.7389,Residential,Pune,2249,3399,Active,19
ATM00154,Baner,18.559,73.7862,Commercial,Pune,0,2696,Active,19
ATM00155,Swargate,18.5018,73.8636,IT Hub,Pune,492,1574,Active,37
ATM00156,Shivaji Nagar,18.53,73.85,IT Hub,Pune,2910,4189,Active,120
ATM00157,Baner,18.559,73.7862,Residential,Pune,236,2452,Active,0
ATM00158,Hadapsar,18.5089,73.9235,Residential,Pune,2059,3532,Active,23
ATM00159,Hadapsar,18.5089,73.9235,Mixed,Pune,3708,1984,Active,2
ATM00160,Baner,18.559,73.7862,Residential,Pune,1559,2831,Active,89
ATM00161,Viman Nagar,18.5679,73.9143,Residential,Pune,0,1665,Active,8
ATM00162,Hadapsar,18.5089,73.9235,IT Hub,Pune,0,2626,Active,3
ATM00163,Hadapsar,18.5089,73.9235,Mixed,Pune,3709,3760,Active,51
ATM00164,Viman Nagar,18.5679,73.9143,Mixed,Pune,0,3827,Active,19
ATM00165,Hadapsar,18.5089,73.9235,Mixed,Pune,2139,2535,Active,5
ATM00166,Camp,18.5167,73.8567,Mixed,Pune,971,2651,Active,22
ATM00167,Shivaji Nagar,18.53,73.85,IT Hub,Pune,4882,769,Active,48
ATM00168,Camp,18.5167,73.8567,Residential,Pune,3657,4210,Active,21
ATM00169,Camp,18.5167,73.8567,IT Hub,Pune,0,2397,Active,8
ATM00170,Hadapsar,18.5089,73.9235,Mixed,Pune,0,2978,Active,131
ATM00171,Aundh,18.5579,73.8077,Mixed,Pune,1366,3813,Active,21
ATM00172,Aundh,18.5579,73.8077,Residential,Pune,2854,2974,Active,97
ATM00173,Baner,18.559,73.7862,Mixed,Pune,240,2370,Active,48
ATM00174,Aundh,18.5579,73.8077,Commercial,Pune,336,2158,Active,10
ATM00175,Kothrud,18.5074,73.8077,Residential,Pune,1521,2021,Active,13
ATM00176,Yerwada,18.5626,73.877,Mixed,Pune,885,2636,Active,63
ATM00177,Viman Nagar,18.5679,73.9143,Commercial,Pune,0,3268,Active,27
ATM00178,Yerwada,18.5626,73.877,IT Hub,Pune,1365,2741,Active,7
ATM00179,Hadapsar,18.5089,73.9235,Residential,Pune,0,2880,Active,43
ATM00180,Hadapsar,18.5089,73.9235,Residential,Pune,0,2374,Active,117
ATM00181,Hadapsar,18.5089,73.9235,Residential,Pune,4463,3031,Active,6
ATM00182,Aundh,18.5579,73.8077,Residential,Pune,0,4232,Active,23
ATM00183,Hadapsar,18.5089,73.9235,Mixed,Pune,2311,3625,Active,29
ATM00184,Kothrud,18.5074,73.8077,Mixed,Pune,314,1371,Active,18
ATM00185,Kothrud,18.5074,73.8077,Commercial,Pune,295,2153,Active,33
ATM00186,Kothrud,18.5074,73.8077,Commercial,Pune,1544,2370,Active,61
ATM00187,Viman Nagar,18.5679,73.9143,Mixed,Pune,3132,4461,Active,36
ATM00188,Viman Nagar,18.5679,73.9143,Residential,Pune,1810,2892,Active,30
ATM00189,Baner,18.559,73.7862,Commercial,Pune,1194,3285,Active,10
ATM00190,Yerwada,18.5626,73.877,Commercial,Pune,2533,2748,Active,9
ATM00191,Swargate,18.5018,73.8636,IT Hub,Pune,3107,3768,Active,37
ATM00192,Shivaji Nagar,18.53,73.85,Residential,Pune,0,2954,Active,48
ATM00193,Baner,18.559,73.7862,Residential,Pune,315,2272,Active,69
ATM00194,Shivaji Nagar,18.53,73.85,Residential,Pune,0,2390,Active,14
ATM00195,Baner,18.559,73.7862,IT Hub,Pune,0,2584,Active,18
ATM00196,Hadapsar,18.5089,73.9235,Commercial,Pune,2621,3038,Active,11
ATM00197,Swargate,18.5018,73.8636,Residential,Pune,374,3720,Active,5
ATM00198,Shivaji Nagar,18.53,73.85,Commercial,Pune,2100,3051,Active,19
ATM00199,Camp,18.5167,73.8567,IT Hub,Pune,1143,4261,Active,64
ATM00200,Kothrud,18.5074,73.8077,Residential,Pune,1847,2741,Active,7
ATM00201,Shivaji Nagar,18.53,73.85,IT Hub,Pune,144,4432,Active,39
ATM00202,Hadapsar,18.5089,73.9235,Mixed,Pune,2189,2465,Active,12
ATM00203,Kothrud,18.5074,73.8077,Commercial,Pune,0,2572,Active,35
ATM00204,Hinjewadi,18.5911,73.7389,IT Hub,Pune,2084,2825,Active,45
ATM00205,Viman Nagar,18.5679,73.9143,Residential,Pune,0,3020,Active,1
ATM00206,Swargate,18.5018,73.8636,IT Hub,Pune,2225,1742,Active,46
ATM00207,Swargate,18.5018,73.8636,Mixed,Pune,134,2121,Active,26
ATM00208,Baner,18.559,73.7862,Commercial,Pune,1068,2759,Active,1
ATM00209,Hadapsar,18.5089,73.9235,IT Hub,Pune,2637,2548,Active,18
ATM00210,Shivaji Nagar,18.53,73.85,IT Hub,Pune,0,3496,Active,2
ATM00211,Swargate,18.5018,73.8636,Commercial,Pune,0,4253,Active,94
ATM00212,Camp,18.5167,73.8567,Commercial,Pune,2328,1099,Active,37
ATM00213,Kothrud,18.5074,73.8077,Residential,Pune,3596,3219,Active,0
ATM00214,Shivaji Nagar,18.53,73.85,Mixed,Pune,2212,3751,Active,31
ATM00215,Aundh,18.5579,73.8077,Mixed,Pune,673,2753,Active,47
ATM00216,Camp,18.5167,73.8567,Commercial,Pune,655,2925,Active,19
ATM00217,Aundh,18.5579,73.8077,IT Hub,Pune,553,2833,Active,21
ATM00218,Viman Nagar,18.5679,73.9143,Mixed,Pune,1702,2250,Active,11
ATM00219,Aundh,18.5579,73.8077,Mixed,Pune,4059,3036,Active,35
ATM00220,Hinjewadi,18.5911,73.7389,Residential,Pune,1126,2470,Active,24
ATM00221,Viman Nagar,18.5679,73.9143,Mixed,Pune,746,3668,Active,19
ATM00222,Baner,18.559,73.7862,Mixed,Pune,0,2796,Active,76
ATM00223,Yerwada,18.5626,73.877,IT Hub,Pune,2951,2503,Active,39
ATM00224,Aundh,18.5579,73.8077,Commercial,Pune,132,3932,Active,39
ATM00225,Viman Nagar,18.5679,73.9143,IT Hub,Pune,0,2551,Active,16
ATM00226,Baner,18.559,73.7862,IT Hub,Pune,0,2443,Active,3
ATM00227,Shivaji Nagar,18.53,73.85,IT Hub,Pune,2467,3238,Active,36
ATM00228,Hadapsar,18.5089,73.9235,IT Hub,Pune,2854,2651,Active,2
ATM00229,Swargate,18.5018,73.8636,Mixed,Pune,0,3637,Active,30
ATM00230,Yerwada,18.5626,73.877,Residential,Pune,3316,2613,Active,11
ATM00231,Hinjewadi,18.5911,73.7389,IT Hub,Pune,1431,3511,Active,3
ATM00232,Aundh,18.5579,73.8077,Commercial,Pune,314,4063,Active,8
ATM00233,Yerwada,18.5626,73.877,IT Hub,Pune,112,1549,Active,31
ATM00234,Aundh,18.5579,73.8077,IT Hub,Pune,4383,4197,Active,3
ATM00235,Hinjewadi,18.5911,73.7389,Commercial,Pune,1531,2191,Active,32
ATM00236,Baner,18.559,73.7862,Mixed,Pune,879,2538,Active,39
ATM00237,Yerwada,18.5626,73.877,IT Hub,Pune,1439,3616,Active,44
ATM00238,Shivaji Nagar,18.53,73.85,Mixed,Pune,1904,2922,Active,23
ATM00239,Hinjewadi,18.5911,73.7389,IT Hub,Pune,0,2752,Active,50
ATM00240,Swargate,18.5018,73.8636,IT Hub,Pune,0,3032,Active,41
ATM00241,Hinjewadi,18.5911,73.7389,Commercial,Pune,806,2737,Active,9
ATM00242,Camp,18.5167,73.8567,Commercial,Pune,1033,3203,Active,15
ATM00243,Baner,18.559,73.7862,Residential,Pune,3288,1987,Active,1
ATM00244,Swargate,18.5018,73.8636,Mixed,Pune,0,3945,Active,3
ATM00245,Swargate,18.5018,73.8636,Residential,Pune,1272,3376,Active,24
ATM00246,Viman Nagar,18.5679,73.9143,Mixed,Pune,2828,2889,Active,35
ATM00247,Camp,18.5167,73.8567,Residential,Pune,2134,1242,Active,72
ATM00248,Hadapsar,18.5089,73.9235,IT Hub,Pune,0,3073,Active,5
ATM00249,Baner,18.559,73.7862,IT Hub,Pune,1127,4166,Active,74
ATM00250,Hinjewadi,18.5911,73.7389,Commercial,Pune,243,1428,Active,13
ATM00251,Camp,18.5167,73.8567,Mixed,Pune,670,3365,Active,114
ATM00252,Swargate,18.5018,73.8636,Commercial,Pune,0,1352,Active,23
ATM00253,Viman Nagar,18.5679,73.9143,Residential,Pune,66,1882,Active,52
ATM00254,Yerwada,18.5626,73.877,IT Hub,Pune,0,2524,Active,31
ATM00255,Viman Nagar,18.5679,73.9143,IT Hub,Pune,0,2821,Active,24
ATM00256,Camp,18.5167,73.8567,Commercial,Pune,1938,3265,Active,21
ATM00257,Camp,18.5167,73.8567,IT Hub,Pune,2796,2506,Active,102
ATM00258,Hinjewadi,18.5911,73.7389,Mixed,Pune,1599,3781,Active,11
ATM00259,Baner,18.559,73.7862,Mixed,Pune,3735,2508,Active,0
ATM00260,Camp,18.5167,73.8567,Residential,Pune,1158,2974,Active,5
ATM00261,Baner,18.559,73.7862,IT Hub,Pune,3655,3411,Active,48
ATM00262,Viman Nagar,18.5679,73.9143,Mixed,Pune,3481,3072,Active,149
ATM00263,Camp,18.5167,73.8567,Residential,Pune,3614,3501,Active,25
ATM00264,Swargate,18.5018,73.8636,Commercial,Pune,1834,4074,Active,13
ATM00265,Swargate,18.5018,73.8636,IT Hub,Pune,1117,2002,Active,4
ATM00266,Baner,18.559,73.7862,IT Hub,Pune,875,3371,Active,7
ATM00267,Viman Nagar,18.5679,73.9143,IT Hub,Pune,694,3340,Active,60
ATM00268,Baner,18.559,73.7862,Commercial,Pune,3666,3618,Active,31
ATM00269,Baner,18.559,73.7862,IT Hub,Pune,1021,2099,Active,10
ATM00270,Baner,18.559,73.7862,Residential,Pune,0,1066,Active,8
ATM00271,Hadapsar,18.5089,73.9235,Commercial,Pune,0,4049,Active,25
ATM00272,Hinjewadi,18.5911,73.7389,Residential,Pune,371,3436,Active,8
ATM00273,Camp,18.5167,73.8567,Mixed,Pune,3531,3307,Active,38
ATM00274,Hadapsar,18.5089,73.9235,IT Hub,Pune,0,3203,Active,62
ATM00275,Hinjewadi,18.5911,73.7389,Residential,Pune,1267,3216,Active,18
ATM00276,Aundh,18.5579,73.8077,Residential,Pune,0,3025,Active,80
ATM00277,Baner,18.559,73.7862,IT Hub,Pune,0,5013,Active,27
ATM00278,Hinjewadi,18.5911,73.7389,Mixed,Pune,624,2403,Active,6
ATM00279,Viman Nagar,18.5679,73.9143,IT Hub,Pune,219,3418,Active,144
ATM00280,Kothrud,18.5074,73.8077,IT Hub,Pune,0,3298,Active,18
ATM00281,Aundh,18.5579,73.8077,Mixed,Pune,2223,2894,Active,11
ATM00282,Camp,18.5167,73.8567,Commercial,Pune,588,1362,Active,47
ATM00283,Shivaji Nagar,18.53,73.85,Mixed,Pune,330,3158,Active,4
ATM00284,Camp,18.5167,73.8567,Mixed,Pune,1028,2649,Active,21
ATM00285,Hadapsar,18.5089,73.9235,IT Hub,Pune,0,2647,Active,12
ATM00286,Hinjewadi,18.5911,73.7389,Commercial,Pune,1339,3082,Active,29
ATM00287,Baner,18.559,73.7862,Commercial,Pune,351,3326,Active,11
ATM00288,Swargate,18.5018,73.8636,Residential,Pune,2331,2284,Active,48
ATM00289,Camp,18.5167,73.8567,IT Hub,Pune,3199,3587,Active,79
ATM00290,Yerwada,18.5626,73.877,Commercial,Pune,772,4071,Active,56
ATM00291,Baner,18.559,73.7862,Residential,Pune,0,2205,Active,37
ATM00292,Shivaji Nagar,18.53,73.85,Commercial,Pune,2144,4053,Active,37
ATM00293,Hadapsar,18.5089,73.9235,Residential,Pune,1525,4131,Active,3
ATM00294,Aundh,18.5579,73.8077,Mixed,Pune,2562,3544,Active,20
ATM00295,Yerwada,18.5626,73.877,Commercial,Pune,782,2471,Active,10
ATM00296,Aundh,18.5579,73.8077,Mixed,Pune,2300,3554,Active,110
ATM00297,Hinjewadi,18.5911,73.7389,Residential,Pune,2226,4127,Active,17
ATM00298,Baner,18.559,73.7862,Mixed,Pune,1948,2612,Active,45
ATM00299,Baner,18.559,73.7862,IT Hub,Pune,2048,3268,Active,3
ATM00300,Baner,18.559,73.7862,IT Hub,Pune,188,1470,Active,76
ATM00301,Viman Nagar,18.5679,73.9143,IT Hub,Pune,942,2644,Active,31
ATM00302,Viman Nagar,18.5679,73.9143,Residential,Pune,0,3130,Active,55
ATM00303,Hadapsar,18.5089,73.9235,Commercial,Pune,2630,4396,Active,121
ATM00304,Aundh,18.5579,73.8077,IT Hub,Pune,142,3094,Active,14
ATM00305,Shivaji Nagar,18.53,73.85,Mixed,Pune,67,3922,Active,2
ATM00306,Viman Nagar,18.5679,73.9143,Mixed,Pune,928,2279,Active,2
ATM00307,Shivaji Nagar,18.53,73.85,IT Hub,Pune,4421,2401,Active,1
ATM00308,Yerwada,18.5626,73.877,Residential,Pune,0,2668,Active,7
ATM00309,Swargate,18.5018,73.8636,Residential,Pune,2107,2578,Active,20
ATM00310,Yerwada,18.5626,73.877,Commercial,Pune,0,2635,Active,23
ATM00311,Baner,18.559,73.7862,Residential,Pune,0,2065,Active,10
ATM00312,Viman Nagar,18.5679,73.9143,Residential,Pune,1873,4066,Active,73
ATM00313,Camp,18.5167,73.8567,IT Hub,Pune,1733,1408,Active,4
ATM00314,Aundh,18.5579,73.8077,Commercial,Pune,622,4006,Active,69
ATM00315,Kothrud,18.5074,73.8077,Commercial,Pune,3209,4092,Active,3
ATM00316,Hinjewadi,18.5911,73.7389,Commercial,Pune,0,2633,Active,16
ATM00317,Camp,18.5167,73.8567,Commercial,Pune,0,2797,Active,47
ATM00318,Yerwada,18.5626,73.877,IT Hub,Pune,0,4139,Active,14
ATM00319,Hinjewadi,18.5911,73.7389,Commercial,Pune,0,2755,Active,15
ATM00320,Swargate,18.5018,73.8636,Residential,Pune,671,3300,Active,55
ATM00321,Hinjewadi,18.5911,73.7389,Mixed,Pune,1119,2072,Active,45
ATM00322,Shivaji Nagar,18.53,73.85,IT Hub,Pune,1011,1814,Active,40
ATM00323,Yerwada,18.5626,73.877,Commercial,Pune,1730,2151,Active,22
ATM00324,Baner,18.559,73.7862,Commercial,Pune,0,2473,Active,168
ATM00325,Swargate,18.5018,73.8636,Commercial,Pune,3308,2879,Active,34
ATM00326,Yerwada,18.5626,73.877,Mixed,Pune,1681,3040,Active,4
ATM00327,Viman Nagar,18.5679,73.9143,Residential,Pune,1174,3551,Active,136
ATM00328,Swargate,18.5018,73.8636,Mixed,Pune,0,2751,Active,7
ATM00329,Hadapsar,18.5089,73.9235,Residential,Pune,2959,2520,Active,7
ATM00330,Yerwada,18.5626,73.877,Mixed,Pune,756,3463,Active,26
ATM00331,Kothrud,18.5074,73.8077,Residential,Pune,1097,2363,Active,43
ATM00332,Yerwada,18.5626,73.877,Mixed,Pune,3008,3964,Active,26
ATM00333,Swargate,18.5018,73.8636,Mixed,Pune,0,2226,Active,8
